osm_id,addr:postcode,alt_name:mk,is_in,name,name:de,name:el,name:en,name:et,name:fr,name:mk,name:ru,name:tr,place,population,wikidata,wikipedia,shop,boundary,historic,marker,railway,public_transport,train,tourism,amenity,addr:street,bus,internet_access,network,operator,addr:housename,addr:housenumber,highway,addr:city,atm,bic,branch,brand,drive_through,int_name,opening_hours,ref,short_name,cash_in,currency:EUR,religion,healthcare,brand:el,brand:en,brand:wikidata,brand:wikipedia,craft,addr:country,payment:cash,payment:debit_cards,payment:visa,phone,website,denomination,payment:credit_cards,payment:maestro,payment:mastercard,description,email,office,landuse,boat,waterway,access,bicycle,cycleway,horse,int_ref,maxspeed,oneway,surface,date,electrified,gauge,passenger_lines,railway:etcs,railway:gnt,railway:lzb,railway:pzb,tracks,usage,bridge,layer,lanes,service,leisure,note,reg_ref,name:prefix,foot,sport,barrier,tunnel,admin_level,border_type,est_width,left:country,name:bg,name:nl,name:pl,name:sr,old_name:fr,right:country,wdb:source,smoothness,width,old_ref,building,tracktype,man_made,natural,water,lit,alt_name:ar,alt_name:eo,default_language,flag,is_in:continent,is_in:continent_1,ISO3166-1,ISO3166-1:alpha2,ISO3166-1:alpha3,ISO3166-1:numeric,name:ab,name:ace,name:af,name:ak,name:als,name:am,name:an,name:ang,name:ar,name:arc,name:arz,name:ast,name:av,name:ay,name:az,name:ba,name:bar,name:bat-smg,name:bcl,name:be,name:be-tarask,name:bi,name:bjn,name:bn,name:bo,name:bpy,name:br,name:bs,name:bug,name:bxr,name:ca,name:cbk-zam,name:cdo,name:ce,name:ceb,name:chr,name:chy,name:ckb,name:cr,name:crh,name:cs,name:csb,name:cu,name:cv,name:cy,name:da,name:diq,name:dsb,name:dv,name:ee,name:eml,name:eo,name:es,name:eu,name:ext,name:fa,name:fi,name:fiu-vro,name:fo,name:frp,name:frr,name:fy,name:ga,name:gag,name:gan,name:gd,name:gl,name:gn,name:gu,name:gv,name:ha,name:hak,name:haw,name:he,name:hi,name:hif,name:hr,name:hsb,name:ht,name:hu,name:hy,name:ia,name:id,name:ie,name:ik,name:ilo,name:io,name:is,name:it,name:ja,name:jbo,name:jv,name:ka,name:kaa,name:kab,name:kbd,name:kg,name:ki,name:kk,name:kl,name:kn,name:ko,name:koi,name:krc,name:ku,name:kv,name:kw,name:ky,name:la,name:lad,name:lb,name:lbe,name:lez,name:lg,name:li,name:lij,name:lmo,name:ln,name:lt,name:ltg,name:lv,name:lzh,name:mdf,name:mg,name:mhr,name:mi,name:ml,name:mn,name:mr,name:mrj,name:ms,name:mt,name:mwl,name:my,name:mzn,name:na,name:nah,name:nan,name:nap,name:nds,name:nds-nl,name:ne,name:new,name:nn,name:no,name:nov,name:nrm,name:nso,name:nv,name:oc,name:or,name:os,name:pa,name:pam,name:pap,name:pcd,name:pdc,name:pih,name:pms,name:pnb,name:pnt,name:ps,name:pt,name:qu,name:rm,name:rmy,name:rn,name:ro,name:roa-rup,name:roa-tara,name:rue,name:rw,name:sa,name:sah,name:sc,name:scn,name:sco,name:se,name:sh,name:si,name:sk,name:sl,name:so,name:sq,name:srn,name:ss,name:stq,name:su,name:sv,name:sw,name:szl,name:ta,name:te,name:tet,name:tg,name:th,name:tk,name:tl,name:tpi,name:tt,name:tum,name:tw,name:tzl,name:tzl_1,name:udm,name:ug,name:uk,name:ur,name:uz,name:vec,name:vep,name:vi,name:vls,name:vo,name:wa,name:war,name:wo,name:wuu,name:xal,name:xmf,name:yi,name:yo,name:yue,name:za,name:zea,name:zh,name:zh-Hans,name:zh-Hant,name:zu,official_name,official_name:cs,official_name:de,official_name:el,official_name:en,official_name:eo,official_name:es,official_name:fi,official_name:fr,official_name:he,official_name:ku,official_name:ru,official_name:zh,official_name:zh-Hans,official_name:zh-Hant,timezone,type,alt_name,name:anc,name:co,name:dz,name:fur,name:pag,name:sm,name:tok,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,ISO3166-2,ref:NUTS,source:population,route,cg_ref,alt_name:vi,fixme,name:sr-Latn,note:en,note:pl,short_name:be,short_name:bg,short_name:cs,short_name:da,short_name:de,short_name:el,short_name:en,short_name:eo,short_name:es,short_name:et,short_name:fi,short_name:fr,short_name:ga,short_name:hr,short_name:hu,short_name:it,short_name:lt,short_name:lv,short_name:mi,short_name:mt,short_name:nl,short_name:pl,short_name:pt,short_name:ro,short_name:ru,short_name:sk,short_name:sl,short_name:sv,short_name:tr,official_name:bg,official_name:mk,official_name:tr,description:el,e-road:class,section,restriction,description:fr,wikipedia:uk,WKT
"299263482","68200","Орестијада","Orestiada municipality,Evros prefecture,Anatoliki Makedonia ke Thraki,Greece","Ορεστιάδα","Orestiada","Ορεστιάδα","Orestiada","Orestiáda","Orestiada","Кумчифтлии","Орестиас","Kumçiftliği","town","15246","Q992228","el:Ορεστιάδα",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5286009 41.5036382)"
"299266545","68200",,"Orestiada municipality,Evros prefecture,Anatoliki Makedonia ke Thraki,Greece","Νέος Πύργος","Neos Pyrgos","Νέος Πύργος","Neos Pyrgos",,"Neos Pyrgos",,,,"village","849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5030085 41.4950707)"
"463166353",,,,"unknown",,,,,,,,,,,,,"bicycle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5313081 41.5007515)"
"1109709281",,,,,,,,,,,,,,,,,,"marker","boundary_stone","stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.1587947 41.4880619)"
"1306309436",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5539298 41.4528473)"
"1306309495",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5444492 41.4673077)"
"1306309552",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5358868 41.4869186)"
"1306309620",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5354745 41.5114314)"
"1306310002",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5352304 41.5135202)"
"1306310279",,,,,,,,,,,,,,,,,,,,,"level_crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (26.5363168 41.4969305)"
