K,R* Time(ms),Sequential Scan Time(ms)
1000,14.5743,203.4062
2000,15.8253,191.6697
3000,21.577,187.87
4000,27.2729,192.8585
5000,29.4978,185.6576
6000,35.9729,200.7336
7000,42.6627,235.8199
8000,57.1067,196.2852
9000,62.9335,206.9455
10000,91.1004,200.7206
11000,65.9166,189.8828
12000,70.2468,248.0046
13000,75.5567,194.0409
14000,84.1374,194.165
15000,92.0498,194.6555
16000,97.3566,198.7498
17000,106.1811,199.1106
18000,111.9567,203.9335
19000,117.1113,196.627
20000,126.5444,202.9449
21000,127.9367,205.0799
22000,140.6464,205.9209
23000,131.2782,200.6438
24000,138.5201,195.984
25000,135.1044,200.7516
26000,142.9341,207.7829
27000,146.8403,206.0741
28000,150.8026,198.4766
29000,152.815,204.9977
30000,155.7931,204.8998
31000,161.6218,203.7256
32000,169.2436,210.7388
33000,171.8966,206.807
34000,198.614,212.8294
35000,193.0718,208.1651
36000,192.3248,207.2313
37000,196.9188,209.9923
38000,213.7149,207.138
39000,205.2337,206.5247
40000,227.554,208.0046
41000,225.5827,214.0938
42000,236.0322,213.8476
43000,239.0944,213.2492
44000,257.7576,213.5729
45000,254.4473,221.6118
46000,264.7845,216.6275
47000,261.2359,221.3354
48000,268.0395,228.0126
49000,287.9761,285.6802
50000,295.0666,246.1369
51000,296.1907,264.2983
52000,290.1298,233.7666
53000,299.8228,231.3881
54000,292.7819,225.7639
55000,312.4624,223.4851
56000,318.1171,227.7341
57000,323.0065,222.5241
58000,324.6737,230.461
59000,322.2319,245.5295
60000,324.0234,230.1778
61000,328.7584,226.0569
62000,341.9035,221.2104
63000,321.2238,217.5155
64000,321.951,221.4044
65000,329.2799,229.5607
66000,327.9154,224.0199
67000,327.7451,225.3972
68000,337.3761,230.0773
69000,341.7273,227.1549
70000,341.1299,224.0806
71000,339.7511,233.9759
72000,342.2118,226.1218
73000,338.4181,225.8506
74000,349.1999,226.6693
75000,347.6929,234.8265
76000,354.1472,234.7411
77000,353.7299,229.5021
78000,357.2655,229.3807
79000,354.7469,234.4217
80000,354.7561,278.1812
81000,366.9702,281.733
82000,374.6309,270.9967
83000,358.1017,231.4417
84000,361.6998,239.6108
85000,371.0731,231.1547
86000,372.3626,230.5484
87000,364.6434,229.0658
88000,367.8069,232.336
89000,367.6404,235.5728
90000,370.8236,236.003
91000,372.4372,230.7057
92000,373.4715,226.9595
93000,379.0125,232.0622
94000,379.9158,232.4063
95000,383.2136,228.3718
96000,382.4946,233.2041
97000,383.4842,232.5807
98000,387.5911,230.1518
99000,387.0793,234.0221
100000,390.1753,234.3452
101000,394.7281,237.6172
102000,394.871,241.972
103000,400.4552,235.7203
104000,403.0543,235.9942
105000,408.4513,232.3332
106000,401.0069,235.7302
107000,412.9683,233.5484
108000,413.8266,234.2971
109000,410.365,234.8591
110000,428.2448,236.9488
111000,421.2349,238.5032
112000,456.0601,253.6114
113000,431.5775,267.0373
114000,455.0748,256.0654
115000,453.4604,240.1532
116000,456.4158,270.7181
117000,530.9358,243.4329
118000,470.9634,251.3732
119000,484.8465,245.5683
120000,474.5413,235.4957
121000,512.9646,251.9995
122000,515.0052,247.2188
123000,506.2588,232.7746
124000,521.7762,251.4497
125000,538.7876,230.3214
126000,502.3413,239.1669
127000,529.5158,253.3793
128000,501.7235,245.6525
129000,532.7667,242.2896
130000,509.3222,237.4748
131000,511.9177,255.0944
132000,527.3756,233.2183
133000,532.687,252.7766
134000,527.5219,241.6333
135000,528.8101,229.8111
136000,524.0511,234.524
137000,527.7015,233.1459
138000,522.6779,233.3467
139000,526.7219,236.4509
140000,539.8111,252.355
141000,538.8541,237.7555
142000,532.8536,233.9941
143000,552.2767,245.3534
144000,554.0097,228.3798
145000,557.5979,259.7709
146000,631.5672,247.3793
147000,597.3483,262.5359
148000,565.5411,243.3523
149000,590.4276,248.3863
150000,574.3641,234.4205
151000,617.1674,246.3508
152000,592.3756,241.8844
153000,600.1929,233.139
154000,607.539,246.6788
155000,606.586,232.1766
156000,612.0276,246.5424
157000,644.3067,234.3466
158000,613.9419,233.0394
159000,621.2643,233.4632
160000,622.623,230.9345
161000,623.3174,231.4178
162000,628.6725,234.6385
163000,646.0159,236.5927
164000,649.5227,266.7483
165000,667.1064,236.4941
166000,660.051,237.6903
167000,653.7286,233.7944
168000,656.8599,233.4405
169000,659.847,231.0262
170000,664.1943,236.0551
171000,656.6951,232.5187
172000,687.7072,242.0061
173000,670.1733,234.5025
174000,659.3246,231.8774
175000,682.0171,236.3048
176000,687.9538,237.6095
177000,679.8039,247.7645
178000,676.9063,229.3542
179000,681.1867,237.9275
180000,679.4216,232.225
181000,692.5013,229.9314
182000,685.5539,230.3002
183000,677.5682,236.9122
184000,688.13,226.4601
185000,695.2838,232.747
186000,691.1116,232.0257
187000,679.9111,231.1133
188000,681.6826,233.3814
189000,700.0767,236.3826
190000,682.9279,225.8891
191000,687.0611,233.3483
192000,689.9983,231.6734
193000,692.2295,225.3303
194000,709.5347,230.7364
195000,708.0505,231.8921
196000,699.8334,232.5702
197000,702.2739,232.1004
198000,696.5599,231.9901
199000,717.7526,228.632
200000,702.3766,231.4619
201000,699.5027,229.0666
202000,698.7142,225.1065
203000,700.0651,229.7344
204000,704.1358,231.003
205000,701.5182,230.9111
206000,699.8205,236.9871
207000,703.3929,234.2077
208000,702.2569,228.8563
209000,694.3391,225.9601
210000,709.0476,240.0422
211000,730.4332,235.3208
212000,708.5614,228.2855
213000,703.1161,230.8995
214000,706.28,232.8301
215000,703.0843,226.5985
216000,712.5483,230.5188
217000,706.1633,229.132
218000,702.5049,225.3721
219000,731.9558,238.8922
220000,701.9284,235.481
221000,713.7573,231.6758
222000,707.0478,228.3734
223000,705.8745,232.9427
224000,708.0417,230.4059
225000,709.2388,229.3911
226000,707.971,234.1917
227000,706.909,237.8949
228000,701.3981,228.9349
229000,699.9948,228.0857
230000,695.7404,230.8896
231000,715.3762,229.9536
232000,705.5822,231.9884
233000,699.8276,231.2855
234000,702.1439,221.956
235000,703.1064,226.695
236000,710.3542,229.146
237000,711.1991,231.3038
238000,704.2561,234.2011
